date,botten_ada
2026-06-14,0.351
2026-06-15,0.351
2026-06-16,0.351
2026-06-17,0.356
2026-06-18,0.345
2026-06-19,0.345
2026-06-20,0.345
2026-06-21,0.345
2026-06-22,0.345
2026-06-23,0.355
2026-06-24,0.366
2026-06-25,0.345
2026-06-26,0.345
2026-06-27,0.345
2026-06-28,0.345
2026-06-29,0.345
2026-06-30,0.345
2026-07-01,0.345
2026-07-02,0.345
2026-07-03,0.345
2026-07-04,0.345
2026-07-05,0.345
2026-07-06,0.345
2026-07-07,0.345
2026-07-08,0.345
2026-07-09,0.345
2026-07-10,0.345
2026-07-11,0.345
2026-07-12,0.345
2026-07-13,0.345
2026-07-14,0.345
2026-07-15,0.345
2026-07-16,0.345
2026-07-17,0.345
2026-07-18,0.345
2026-07-19,0.364
2026-07-20,0.364
2026-07-21,0.364
2026-07-22,0.364
2026-07-23,0.335
2026-07-24,0.335
2026-07-25,0.335
2026-07-26,0.335
2026-07-27,0.335
2026-07-28,0.335
2026-07-29,0.335
2026-07-30,0.335
2026-07-31,0.335
2026-08-01,0.335
2026-08-02,0.335
2026-08-03,0.335
2026-08-04,0.335
2026-08-05,0.335
2026-08-06,0.335
2026-08-07,0.335
2026-08-08,0.335
2026-08-09,0.335
2026-08-10,0.335
2026-08-11,0.335
2026-08-12,0.335
2026-08-13,0.292
2026-08-14,0.292
2026-08-15,0.292
2026-08-16,0.292
2026-08-17,0.292
2026-08-18,0.307
2026-08-19,0.325
2026-08-20,0.342
2026-08-21,0.342
2026-08-22,0.342
2026-08-23,0.342
2026-08-24,0.342
2026-08-25,0.342
2026-08-26,0.317
2026-08-27,0.299
2026-08-28,0.299
2026-08-29,0.299
2026-08-30,0.299
2026-08-31,0.299
